Location,FullScallop_Number,T1_height,T1_length,T1_width,T2_height,T2_length,T2_width,T2_whole_weight,T2_body_weight,T2_adductor,sex,acini_1,acini_2,acini_3,acini_4,acini_5,acini_6,acini_7,acini_8,acini_9,acini_10,acini_11,acini_12,acini_13,acini_14,acini_15,acini_16,acini_17,acini_18,acini_19,acini_20,acini_21,acini_22,acini_23,acini_24,acini_25,acini_26,acini_27,acini_28,acini_29,acini_30,acini_31,acini_32,acini_count,mc_1_mode,mc_2_mean,mc_3_max
TI,313035,55,59,14,65.2,65.6,17,32.09,13.22,22,f,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,24,4,4,4
TI,313036,59,60,15,64.4,66.5,17.7,38.93,13.2,23,m,1,1,1,2,2,2,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,,,,,,,,,24,2,1,1
TI,313053,47,46,15,58.6,60.2,17.4,28.63,10.79,19,f,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,24,4,4,4
TI,313038,58,60,15,67.3,67.2,17.3,39.04,13.64,20,f,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,24,4,4,4
TI,313039,54,56,15,65.2,67.9,18,36.86,15.09,21,m,none,1,none ,none,none,1,1,none,none,1,1,1,1,1,1,1,1,1,1,1,none,1,1,none,,,,,,,,,16,1,#DIV/0!,0
TI,313040,47,50,15,57,60,16.4,28.61,10.63,17,m,1,1,1,2,2,1,2,1,1,1,2,2,none,2,2,none,2,1,1,2,2,2,2,none,,,,,,,,,21,2,1,1
TI,313042,50,51,15,51.3,50.7,15.8,23.83,8.77,17,m,2,2,2,2,2,3,3,2,2,2,2,2,2,2,3,3,2,2,1,1,2,2,2,2,,,,,,,,,24,2,2,2
TI,313044,54,55,15,63,64.5,15.2,25.03,9.17,18,m,none,3,3,3,3,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,23,2,#DIV/0!,0
TI,313058,46,45,12,51.5,51.6,13.9,17.59,7.39,18,m,1,1,2,2,1,2,2,1,1,1,1,none,2,1,2,1,2,2,1,2,none,1,none,none,none,none,0,3,0,4,4,3,26,1,2,3
TI,313047,46,45,13,58.1,57,14.1,22.74,9.47,17,f,3,3,2,3,3,4,4,3,4,3,4,4,4,4,4,4,3,3,4,4,4,4,4,4,,,,,,,,,24,4,3,3
TI,313059,,,,63.5,66.2,17.5,29.01,12.85,23,m,1,2,2,1,1,1,1,none,none,1,1,2,1,1,1,1,1,1,none,none,1,none,none,none,,,,,,,,,17,1,1,1
